year,year_yy,start_date,end_date
2000,00,1/1/2000,12/31/2000
2001,01,1/1/2001,12/31/2001
2002,02,1/1/2002,12/31/2002
2003,03,1/1/2003,12/31/2003
2004,04,1/1/2004,12/31/2004
2005,05,1/1/2005,12/31/2005
2006,06,1/1/2006,12/31/2006
2007,07,1/1/2007,12/31/2007
2008,08,1/1/2008,12/31/2008
2009,09,1/1/2009,12/31/2009
2010,10,1/1/2010,12/31/2010
2011,11,1/1/2011,12/31/2011
2012,12,1/1/2012,12/31/2012
2013,13,1/1/2013,12/31/2013
2014,14,1/1/2014,12/31/2014
2015,15,1/1/2015,12/31/2015
2016,16,1/1/2016,12/31/2016
2017,17,1/1/2017,12/31/2017
2018,18,1/1/2018,12/31/2018
2019,19,1/1/2019,12/31/2019
2020,20,1/1/2020,12/31/2020
2021,21,1/1/2021,12/31/2021
2022,22,1/1/2022,12/31/2022
2023,23,1/1/2023,12/31/2023
2024,24,1/1/2024,12/31/2024
2025,25,1/1/2025,12/31/2025
2026,26,1/1/2026,12/31/2026
2027,27,1/1/2027,12/31/2027
2028,28,1/1/2028,12/31/2028
2029,29,1/1/2029,12/31/2029
2030,30,1/1/2030,12/31/2030
2031,31,1/1/2031,12/31/2031
2032,32,1/1/2032,12/31/2032
2033,33,1/1/2033,12/31/2033
2034,34,1/1/2034,12/31/2034
2035,35,1/1/2035,12/31/2035
2036,36,1/1/2036,12/31/2036
2037,37,1/1/2037,12/31/2037
2038,38,1/1/2038,12/31/2038
2039,39,1/1/2039,12/31/2039
